,year,GDP_B$,GDPCap,imports_B$,import_GDP_percentage,exports_B$,export_GDP_percentage,Deficit_B$,ex_rate,inflation
22,1992,48.884606848127,429.1469,9.9841004015254,20.4238,8.4427271443272,17.2707,-1.5413732571982,25.0827916666667,9.509
23,1993,51.80994933424,442.4923,11.552179554512,22.2972,8.3942970125738,16.2021,-3.1578825419383,28.1071833333333,9.9737
24,1994,52.293456906266,434.4654,9.8831198619777,18.8993,8.4497757802813,16.1584,-1.4333440816964,30.5665916666667,12.3682
25,1995,60.636022422618,489.8818,11.77720367211,19.4228,10.132260947274,16.71,-1.6449427248355,31.6426833333333,12.3436
26,1996,63.320122807122,497.2161,13.567618581148,21.427,10.70306480226,16.9031,-2.8645537788875,36.0786833333333,10.3738
27,1997,62.433300338094,476.3812,12.967591818895,20.7703,10.040494157272,16.082,-2.9270976616231,41.111525,11.3755
28,1998,62.191955814348,461.2167,10.900343051978,17.5269,10.252214043995,16.4848,-0.6481290079829,45.0466666666667,6.228
29,1999,62.973855718887,454.2761,10.684436233801,16.9665,9.6686905142059,15.3535,-1.0157457195946,49.5006915833333,4.1426
30,2000,82.017743416284,576.1956,10.862333897077,13.2439,9.9401787871467,12.1195,-0.9221551099299,53.6481865,4.3667
31,2001,79.484403984885,544.4943,11.36130195809,14.2937,10.60027481965,13.3363,-0.7610271384404,61.9271616666667,3.1483
32,2002,79.904985384865,534.3039,11.07307567392,13.8578,11.007713543358,13.776,-0.0653621305619,59.7237816666667,3.2903
33,2003,91.760542940072,599.3763,13.423663991805,14.629,13.917671162711,15.1674,0.4940071709066,57.7519966666667,2.9141
34,2004,107.75968386312,687.8364,14.337311099531,13.3049,15.350078165711,14.2447,1.0127670661803,58.2578633333333,7.4446
35,2005,120.05529199294,748.9226,21.422766419127,17.8441,17.180327371727,14.3103,-4.2424390474008,59.514475,9.0633
36,2006,137.26406110604,836.8605,29.577339842223,21.5478,19.400851368103,14.134,-10.17648847412,60.271335,7.9211
37,2007,152.38571631192,908.0951,30.135517579188,19.7758,20.137183305791,13.2146,-9.9983342733969,60.7385158333333,7.5987
38,2008,170.0778141063,990.8466,39.478276162535,23.2119,21.059563684619,12.3823,-18.418712477916,70.4080333333333,20.2861
39,2009,168.15277528303,957.9957,33.085901223339,19.6761,20.843801712903,12.3958,-12.242099510435,81.7128916666667,13.6478
40,2010,177.16563507706,987.4097,34.286260751849,19.3527,23.946181767915,13.5163,-10.340078983934,85.1938163257576,12.9389
41,2011,213.587413184,1164.9788,40.524442875858,18.9732,29.831048429979,13.9667,-10.693394445879,86.3433833333333,11.9161
42,2012,224.38362082957,1198.1176,45.79409292335,20.4088,27.816080760866,12.3967,-17.978012162484,93.3951972222222,9.6824
43,2013,231.21856717898,1208.9177,46.374225334655,20.0564,30.699243926624,13.2772,-15.674981408032,101.628899206349,7.6922
44,2014,244.36088875081,1251.1757,45.594469822376,18.6587,29.916086156595,12.2426,-15.678383665781,101.100088423521,7.1894
45,2015,270.55613170117,1356.6678,46.130526984115,17.0503,28.690885214612,10.6044,-17.439641769502,102.769271604675,2.5293
46,2016,313.62985885959,1540.1845,50.070574998395,15.9649,27.400953970035,8.7367,-22.669621028359,104.769117033301,3.7651
47,2017,339.20561576919,1631.5319,58.514406747319,17.2504,27.888171201771,8.2216,-30.626235545548,105.455162087938,4.0854
48,2018,356.12822495709,1678.0432,67.821973190748,19.0443,30.562210968148,8.5818,-37.2597622226,121.824068875756,5.0781
49,2019,320.90948922972,1481.8139,62.624563953808,19.5147,30.136171703103,9.3909,-32.488392250705,150.036253839864,10.5784
50,2020,300.30633169767,1359.5145,52.32730570292,17.4246,27.935258004278,9.3023,-24.392047698642,161.838479684718,9.74
51,2021,346.34317048607,1537.9364,69.042352354421,19.9347,34.569034835937,9.9812,-34.473317518483,162.906253747418,9.4962
